Rank,CDF,Column Name,kPB,?CH2,?T/O,?C/P,?B/P pH 7.6,?B/P pH 2.7,Type*,Particle Size** [µm],TPP/SPP,Pore Size [A]
25,-0.813,BetaBasic C18,4.49,1.47,1.56,0.39,0.8,0.12,C18,5,TPP,150
330,-2.912,BetaBasic CN,0.18,1.06,1.82,0.43,0.77,0.17,CN,5,TPP,150
290,-2.164,BetaBasic phenyl,0.39,1.21,0.92,1,0.64,0.19,Phenyl,5,TPP,150
78,-0.994,BetaMax Acid,2.84,1.33,2.04,0.29,0.55,-0.03,C8,5,TPP,60
332,-3.072,BetaMax Basic (CN),0.37,1.04,2.04,0.42,1.7,0.19,CN,5,TPP,60
327,-2.846,BetaMax Neutral C18,10.62,1.49,1.5,0.4,1,0.1,C18,5,TPP,60
221,-1.642,Betasil phenyl-hexyl,1.78,1.32,0.75,0.42,0.39,0.12,Phenyl,5,TPP,100
73,-0.979,BIOshell Peptide C18,2.26,1.45,1.21,0.75,1,0.13,C18,2.7,SPP,160
4,-0.59,Capcell Pak AQ C18,3.97,1.42,1.31,0.62,0.67,0.11,Aqua,5,TPP,80
192,-1.475,Capcell Pak MGII C18,6.52,1.48,1.31,0.44,0.31,0.11,C18,5,TPP,100
60,-0.946,Chromolith C18,2.36,1.47,1.43,0.43,0.63,0.09,C18,0,TPP,130
76,-0.985,Cortecs C18,4.51,1.48,1.38,0.39,0.38,0.1,C18,1.6,SPP,90
95,-1.05,Cortecs C18+,4.12,1.51,1.49,0.55,1,0.08,C18,1.6,SPP,90
63,-0.951,Cosmosil 3 C18-EB,4.8,1.46,1.29,0.59,0.38,0.11,C18,3,TPP,120
368,-17.6,Cosmosil 5 PYE 5um,1.95,1.37,3.02,24.1,0.58,0.2,Aromatic,5,TPP,120
328,-2.851,Cosmosil cholester 5um,5.24,1.49,3.26,0.39,0.23,0.03,C18 like,5,TPP,120
320,-2.665,Cosmosil ?-NAP 5um,1.74,1.35,1.51,4.08,0.34,0.1,Aromatic,5,TPP,120
246,-1.826,Curosil PFP,1.77,1.27,2.49,0.71,0.85,0.1,PFP,5,TPP,110
178,-1.412,Denali C18,6.47,1.48,1.69,0.38,0.33,0.1,C18,5,TPP,120
219,-1.623,Develosil ODS-MG-5,6.7,1.49,1.24,0.51,0.1,0.07,C18,5,TPP,100
50,-0.903,Discovery C18,3.32,1.48,1.51,0.39,0.28,0.1,C18,5,TPP,180
196,-1.498,Discovery C18 HS,6.68,1.49,1.55,0.4,0.38,0.1,C18,5,TPP,120
189,-1.455,Discovery C8,1.1,1.34,1,0.43,0.41,0.09,C8,5,TPP,180
342,-3.437,Discovery CN,0.29,1,1,1,1.6,0.55,CN,5,TPP,180
260,-1.941,Discovery F5 HS,1.7,1.26,2.55,0.68,0.85,0.34,PFP,5,TPP,120
339,-3.33,Discovery PEG HS,0.23,1.06,2.57,0.02,0.07,-0.04,Polyethylene glycol,5,TPP,120
